trip_id,start_time,end_time,headway_secs,exact_times
2Q-R01,09:00:00,16:00:00,1200,0
2Q-R01,16:00:00,20:00:00,600,0
2Q-R01,20:00:00,22:00:00,1200,0
2Q-R02,05:00:00,06:00:00,1200,0
2Q-R02,06:00:00,09:00:00,600,0
2Q-R02,09:00:00,16:00:00,1200,0
2Q-R02,16:00:00,20:00:00,600,0
2Q-R02,20:00:00,22:00:00,1200,0
3A-R01,05:00:00,06:00:00,1200,0
3A-R01,06:00:00,09:00:00,600,0
3A-R01,09:00:00,16:00:00,1200,0
3A-R01,16:00:00,20:00:00,600,0
3A-R01,20:00:00,22:00:00,1200,0
3A-R02,05:00:00,06:00:00,1200,0
3A-R02,06:00:00,09:00:00,600,0
3A-R02,09:00:00,16:00:00,1200,0
3A-R02,16:00:00,20:00:00,600,0
3A-R02,20:00:00,22:00:00,1200,0
3B-R03,05:00:00,06:00:00,1200,0
3B-R03,06:00:00,09:00:00,600,0
3B-R03,09:00:00,16:00:00,1200,0
3B-R03,16:00:00,20:00:00,600,0
3B-R03,20:00:00,22:00:00,1200,0
3B-R04,05:00:00,06:00:00,1200,0
3B-R04,06:00:00,09:00:00,600,0
3B-R04,09:00:00,16:00:00,1200,0
3B-R04,16:00:00,20:00:00,600,0
3B-R04,20:00:00,22:00:00,1200,0
3C-R01,05:00:00,06:00:00,1200,0
3C-R01,06:00:00,09:00:00,600,0
3C-R01,09:00:00,16:00:00,1200,0
3C-R01,16:00:00,20:00:00,600,0
3C-R01,20:00:00,22:00:00,1200,0
3C-R02,05:00:00,06:00:00,1200,0
3C-R02,06:00:00,09:00:00,600,0
3C-R02,09:00:00,16:00:00,1200,0
3C-R02,16:00:00,20:00:00,600,0
3C-R02,20:00:00,22:00:00,1200,0
3E-R06,05:00:00,06:00:00,1200,0
3E-R06,06:00:00,09:00:00,600,0
3E-R06,09:00:00,16:00:00,1200,0
3E-R06,16:00:00,20:00:00,600,0
3E-R06,20:00:00,22:00:00,1200,0
3E-R07,05:00:00,06:00:00,1200,0
3E-R07,06:00:00,09:00:00,600,0
3E-R07,09:00:00,16:00:00,1200,0
3E-R07,16:00:00,20:00:00,600,0
3E-R07,20:00:00,22:00:00,1200,0
3F-R01,05:00:00,06:00:00,600,0
3F-R01,06:00:00,09:00:00,300,0
3F-R01,09:00:00,16:00:00,600,0
3F-R01,16:00:00,20:00:00,300,0
3F-R01,20:00:00,22:00:00,600,0
3F-R02,05:00:00,06:00:00,600,0
3F-R02,06:00:00,09:00:00,300,0
3F-R02,09:00:00,16:00:00,600,0
3F-R02,16:00:00,20:00:00,300,0
3F-R02,20:00:00,22:00:00,600,0
4B-R01,05:00:00,06:00:00,1200,0
4B-R01,06:00:00,09:00:00,600,0
4B-R01,09:00:00,16:00:00,1200,0
4B-R01,16:00:00,20:00:00,600,0
4B-R01,20:00:00,22:00:00,1200,0
4B-R02,05:00:00,06:00:00,1200,0
4B-R02,06:00:00,09:00:00,600,0
4B-R02,09:00:00,16:00:00,1200,0
4B-R02,16:00:00,20:00:00,600,0
4B-R02,20:00:00,22:00:00,1200,0
4C-R05,05:00:00,06:00:00,1200,0
4C-R05,06:00:00,09:00:00,600,0
4C-R05,09:00:00,16:00:00,1200,0
4C-R05,16:00:00,20:00:00,600,0
4C-R05,20:00:00,22:00:00,1200,0
4C-R06,05:00:00,06:00:00,1200,0
4C-R06,06:00:00,09:00:00,600,0
4C-R06,09:00:00,16:00:00,1200,0
4C-R06,16:00:00,20:00:00,600,0
4C-R06,20:00:00,22:00:00,1200,0
4D-R01,05:00:00,06:00:00,600,0
4D-R01,06:00:00,09:00:00,300,0
4D-R01,09:00:00,16:00:00,600,0
4D-R01,16:00:00,20:00:00,300,0
4D-R01,20:00:00,22:00:00,600,0
4D-R02,05:00:00,06:00:00,600,0
4D-R02,06:00:00,09:00:00,300,0
4D-R02,09:00:00,16:00:00,600,0
4D-R02,16:00:00,20:00:00,300,0
4D-R02,20:00:00,22:00:00,600,0
4F-R03,05:00:00,06:00:00,1200,0
4F-R03,06:00:00,09:00:00,600,0
4F-R03,09:00:00,16:00:00,1200,0
4F-R03,16:00:00,20:00:00,600,0
4F-R03,20:00:00,22:00:00,1200,0
4F-R04,05:00:00,06:00:00,1200,0
4F-R04,06:00:00,09:00:00,600,0
4F-R04,09:00:00,16:00:00,1200,0
4F-R04,16:00:00,20:00:00,600,0
4F-R04,20:00:00,22:00:00,1200,0
4-R12,05:00:00,11:00:00,600,0
4-R13,05:00:00,11:00:00,600,0
5B-R05,05:00:00,06:00:00,1200,0
5B-R05,06:00:00,09:00:00,600,0
5B-R05,09:00:00,16:00:00,1200,0
5B-R05,16:00:00,20:00:00,600,0
5B-R05,20:00:00,22:00:00,1200,0
5B-R06,05:00:00,06:00:00,1200,0
5B-R06,06:00:00,09:00:00,600,0
5B-R06,09:00:00,16:00:00,1200,0
5B-R06,16:00:00,20:00:00,600,0
5B-R06,20:00:00,22:00:00,1200,0
5D-R01,05:00:00,06:00:00,600,0
5D-R01,06:00:00,09:00:00,300,0
5D-R01,09:00:00,16:00:00,600,0
5D-R01,16:00:00,20:00:00,300,0
5D-R01,20:00:00,22:00:00,600,0
5D-R02,05:00:00,06:00:00,600,0
5D-R02,06:00:00,09:00:00,300,0
5D-R02,09:00:00,16:00:00,600,0
5D-R02,16:00:00,20:00:00,300,0
5D-R02,20:00:00,22:00:00,600,0
5F-R03,05:00:00,06:00:00,1200,0
5F-R03,06:00:00,09:00:00,600,0
5F-R03,09:00:00,16:00:00,1200,0
5F-R03,16:00:00,20:00:00,600,0
5F-R03,20:00:00,22:00:00,1200,0
5F-R04,05:00:00,06:00:00,1200,0
5F-R04,06:00:00,09:00:00,600,0
5F-R04,09:00:00,16:00:00,1200,0
5F-R04,16:00:00,20:00:00,600,0
5F-R04,20:00:00,22:00:00,1200,0
5M-R05,05:00:00,06:00:00,1200,0
5M-R05,06:00:00,09:00:00,600,0
5M-R05,09:00:00,16:00:00,1200,0
5M-R05,16:00:00,20:00:00,600,0
5M-R05,20:00:00,22:00:00,1200,0
5M-R04,05:00:00,06:00:00,1200,0
5M-R04,06:00:00,09:00:00,600,0
5M-R04,09:00:00,16:00:00,1200,0
5M-R04,16:00:00,20:00:00,600,0
5M-R04,20:00:00,22:00:00,1200,0
5N-R01,05:00:00,06:00:00,1200,0
5N-R01,06:00:00,09:00:00,600,0
5N-R01,09:00:00,16:00:00,1200,0
5N-R01,16:00:00,20:00:00,600,0
5N-R01,20:00:00,22:00:00,1200,0
5N-R02,05:00:00,06:00:00,1200,0
5N-R02,06:00:00,09:00:00,600,0
5N-R02,09:00:00,16:00:00,1200,0
5N-R02,16:00:00,20:00:00,600,0
5N-R02,20:00:00,22:00:00,1200,0
5-R01,05:00:00,06:00:00,300,0
5-R01,06:00:00,09:00:00,150,0
5-R01,09:00:00,16:00:00,300,0
5-R01,16:00:00,20:00:00,150,0
5-R01,20:00:00,22:00:00,300,0
5-R02,05:00:00,06:00:00,300,0
5-R02,06:00:00,09:00:00,150,0
5-R02,09:00:00,16:00:00,300,0
5-R02,16:00:00,20:00:00,150,0
5-R02,20:00:00,22:00:00,300,0
6K-R03,05:00:00,06:00:00,1200,0
6K-R03,06:00:00,09:00:00,600,0
6K-R03,09:00:00,16:00:00,1200,0
6K-R03,16:00:00,20:00:00,600,0
6K-R03,20:00:00,22:00:00,1200,0
6K-R04,05:00:00,06:00:00,1200,0
6K-R04,06:00:00,09:00:00,600,0
6K-R04,09:00:00,16:00:00,1200,0
6K-R04,16:00:00,20:00:00,600,0
6K-R04,20:00:00,22:00:00,1200,0
6D-R03,05:00:00,06:00:00,1200,0
6D-R03,06:00:00,09:00:00,600,0
6D-R03,09:00:00,16:00:00,1200,0
6D-R03,16:00:00,20:00:00,600,0
6D-R03,20:00:00,22:00:00,1200,0
6D-R04,05:00:00,06:00:00,1200,0
6D-R04,06:00:00,09:00:00,600,0
6D-R04,09:00:00,16:00:00,1200,0
6D-R04,16:00:00,20:00:00,600,0
6D-R04,20:00:00,22:00:00,1200,0
6H-R05,05:00:00,06:00:00,1200,0
6H-R05,06:00:00,09:00:00,600,0
6H-R05,09:00:00,16:00:00,1200,0
6H-R05,16:00:00,20:00:00,600,0
6H-R05,20:00:00,22:00:00,1200,0
6H-R04,05:00:00,06:00:00,1200,0
6H-R04,06:00:00,09:00:00,600,0
6H-R04,09:00:00,16:00:00,1200,0
6H-R04,16:00:00,20:00:00,600,0
6H-R04,20:00:00,22:00:00,1200,0
6M-R01,05:00:00,06:00:00,1200,0
6M-R01,06:00:00,09:00:00,600,0
6M-R01,09:00:00,16:00:00,1200,0
6M-R01,16:00:00,20:00:00,600,0
6M-R01,20:00:00,22:00:00,1200,0
6M-R02,05:00:00,06:00:00,1200,0
6M-R02,06:00:00,09:00:00,600,0
6M-R02,09:00:00,16:00:00,1200,0
6M-R02,16:00:00,20:00:00,600,0
6M-R02,20:00:00,22:00:00,1200,0
6N-R03,05:00:00,06:00:00,1200,0
6N-R03,06:00:00,09:00:00,600,0
6N-R03,09:00:00,16:00:00,1200,0
6N-R03,16:00:00,20:00:00,600,0
6N-R03,20:00:00,22:00:00,1200,0
6N-R04,05:00:00,06:00:00,1200,0
6N-R04,06:00:00,09:00:00,600,0
6N-R04,09:00:00,16:00:00,1200,0
6N-R04,16:00:00,20:00:00,600,0
6N-R04,20:00:00,22:00:00,1200,0
6P-R01,05:00:00,06:00:00,1200,0
6P-R01,06:00:00,09:00:00,600,0
6P-R01,09:00:00,16:00:00,1200,0
6P-R01,16:00:00,20:00:00,600,0
6P-R01,20:00:00,22:00:00,1200,0
6P-R02,05:00:00,06:00:00,1200,0
6P-R02,06:00:00,09:00:00,600,0
6P-R02,09:00:00,16:00:00,1200,0
