route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
9,SH,9-R02,Pluit - Pinang Ranti,1,,9-R02_shp
9ST,SH,9ST-R03,Pesing - Kali Grogol,0,,o133
9ST,SH,9ST-R04,Kali Grogol - Pesing,1,,izok
B11,SH,B11-R10,Cawang - Summarecon Bekasi,1,,2tq6
B11,SH,B11-R11,Summarecon Bekasi - Cawang,0,,mx84
B13,HK,B13-R01,Bekasi Barat - Blok M,0,,B13-R01_shp
B13,HK,B13-R02,Blok M - Bekasi Barat,1,,B13-R02_shp
B14,HK,B14-R01,Bekasi Barat - Kuningan,0,,B14-R01_shp
B14,HK,B14-R02,Kuningan - Bekasi Barat,1,,B14-R02_shp
B21,SH,B21-R09,Bekasi Timur - Cawang,0,,x3d0
B21,SH,B21-R10,Cawang - Bekasi Timur,1,,uza8
BW2,SH,BW2-L02,Monas Explorer,0,,5cg3
BW1,SH,BW1-L02,Sejarah Jakarta,0,,zro4
BW4,SH,BW4-L01,Pencakar Langit,0,,BW4-L01_shp
BW9,SH,BW9-R05,Kota Tua - PIK,0,,ecry
BW9,SH,BW9-R06,PIK - Kota Tua,1,,d994
D11,SH,D11-R07,Depok - Cawang Sentral via St. LRT Harjamukti,0,,ftgt
D11,SH,D11-R08,Cawang Sentral - Depok,1,,hbfl
D21,SH,D21-R01,Universitas Indonesia - Lebak Bulus,0,,D21-R01_shp
D21,SH,D21-R02,Lebak Bulus - Universitas Indonesia,1,,D21-R02_shp
D31,HK,D31-R03,Cinere - Kuningan,0,,D31-R03_shp
D31,HK,D31-R04,Kuningan - Cinere,1,,D31-R04_shp
D32,HK,D32-R01,Cinere - Bundaran Senayan,0,,D32-R01_shp
D32,HK,D32-R02,Bundaran Senayan - Cinere,1,,D32-R02_shp
JAK.01,SH,JAK.01-R01,Tanjung Priok - Plumpang,0,,JAK.01-R01_shp
JAK.01,SH,JAK.01-R02,Plumpang - Tanjung Priok,1,,JAK.01-R02_shp
JAK.02,SH,JAK.02-R06,Duren Sawit - Term. Kampung Melayu,1,,671v
JAK.02,SH,JAK.02-R07,Term. Kampung Melayu - Duren Sawit,0,,g4il
JAK.03,SH,JAK.03-R01,Lebak Bulus - Andara,0,,JAK.03-R01_shp
JAK.03,SH,JAK.03-R02,Andara - Lebak Bulus,1,,JAK.03-R02_shp
JAK.04,SH,JAK.04-R01,Tubagus Angke - Grogol,0,,JAK.04-R01_shp
JAK.04,SH,JAK.04-R02,Grogol - Tubagus Angke,1,,JAK.04-R02_shp
JAK.05,SH,JAK.05-R01,Semper - Rorotan,0,,JAK.05-R04_shp
JAK.05,SH,JAK.05-R02,Rorotan - Semper,1,,JAK.05-R03_shp
JAK.06,SH,JAK.06-R01,Pondok Gede - Kampung Rambutan,0,,JAK.06-R01_shp
